"id","name","category","tevila","brocha","notes","debates","tags","image_url"
"bottle-metal-glass","Bottle (metal or glass, reusable)","drinks-bottles","yes","yes","If a bottle was purchased filled with food/drink and subsequently emptied by a Jew → generally no tevila required for that bottle.","Rav Moshe (Igros Moshe YD 2:40): A Jew who opens a sealed bottle is considered the one who created the keili, so no tevila. Rav Hershel Schachter: One must pour the contents into another vessel before drinking. Sridei Esh: Have in mind not to acquire the bottle. This dispute applies to all glass bottles bought with drinks (e.g., Snapple).","bottle, water, drink",""
"snapple-bottle","Snapple / Glass Drink Bottle (purchased full)","drinks-bottles","varies","varies","A famous practical shailah. The question is whether one may drink directly from the glass bottle after opening it.","Rav Moshe Feinstein (Igros Moshe YD 2:40): The Jew who opens the bottle is considered the creator of the keili — no tevila needed, may drink directly. Rav Hershel Schachter: Forbidden to drink from the bottle; pour into another vessel. Sridei Esh (YD 2:29): Have in mind not to acquire the bottle. Chacham Ben-Zion Abba Shaul (Or Litzion OC 1:24): Agrees with Rav Moshe. Rav Menashe Klein (Mishne Halachos 4:107): Permitted since no one intends to acquire a prohibited item.","snapple, bottle, glass, drink",""
"can-metal","Metal Can (purchased with food)","drinks-bottles","varies","varies","If bought filled with food and subsequently emptied by a Jew → no tevila. If reusing a metal can for other food → tevila with a brocha. Some poskim permit reuse of a tin can opened by a Jew without tevila.","","can, tin, soda",""
"kettle","Kettle (stovetop, metal or glass)","drinks-bottles","yes","yes","","","kettle, tea, boil",""
"thermos","Thermos","drinks-bottles","yes","yes","Metal or glass thermos → tevila with a brocha. Thermos with a plastic casing and removable metal/glass insert → the insert requires tevila with a brocha; the casing does not. Should preferably be immersed assembled.","","thermos, flask, insulated",""
"washing-cup-metal","Washing Cup / Netilas Yadayim Cup (metal)","drinks-bottles","no","no","If used only for netilas yadayim (hand-washing), no tevila is required. It is not a keili seudah.","","washing, cup, netilat yadayim, netilas",""
"storage-container","Storage Container (metal or glass)","storage-misc","yes","varies","If used only for storage and never brought to the table → tevila without a brocha. If also used at the table for serving (e.g., a pitcher) → tevila with a brocha.","","storage, container",""
"bread-box","Bread Box (metal)","storage-misc","yes","no","Storage vessel → tevila without a brocha.","","bread, box, storage",""
"can-opener","Can Opener","storage-misc","no","no","No direct food contact. No tevila.","","can, opener",""
"corkscrew","Corkscrew","storage-misc","no","no","No direct food contact. No tevila.","","corkscrew, wine, opener",""
"coffee-grinder","Coffee Grinder (manual)","storage-misc","yes","no","Requires tevila without a brocha. Coffee is not edible in its ground state, so a brocha is not recited.","","coffee, grinder",""
"flour-sifter","Flour Sifter","storage-misc","yes","no","A sifter with a metal net requires tevila without a brocha, even if the frame is made from exempt material. Flour is not ready-to-eat, so a brocha is not recited.","","flour, sifter",""
"rolling-pin","Rolling Pin (metal) / Kneading Trough","storage-misc","yes","no","Metal kneading utensils — rolling pins, kneading troughs — require tevila without a brocha. Used in the initial stages of food preparation, not with ready-to-eat food. Wooden or plastic rolling pins do not require tevila.","","rolling, pin, dough, kneading",""
"brush-kitchen","Brush (grill / pastry / egg yolk)","storage-misc","no","no","Brushes are not keilim in the halachic sense. No tevila.","","brush, pastry, grill",""
"dish-rack","Dish Rack","storage-misc","no","no","","","dish, rack, drying",""
"sink-rack","Sink Rack","storage-misc","no","no","","","sink, rack",""
"spoon-rest","Spoon Rest","storage-misc","no","no","No direct food contact. No tevila.","","spoon, rest",""
"trivet","Trivet","storage-misc","no","no","No tevila if food does not contact the surface. Pots are placed on the trivet.","","trivet",""
"oven-rack","Oven Rack","storage-misc","no","no","Food does not normally contact the oven rack directly (it sits in pans). No tevila. See toaster oven for different ruling.","","oven, rack",""
"knife-sharpener","Knife Sharpener","storage-misc","no","no","No food contact. No tevila.","","knife, sharpener",""
"meat-thermometer","Meat Thermometer","storage-misc","no","no","Used to measure temperature, not as a food-preparation vessel. No tevila.","","thermometer, meat, temperature",""
"dentures","Dentures","storage-misc","no","no","Not considered a keili. No tevila.","","dentures, teeth",""
"medicine-spoon","Medicine Spoon (metal or glass)","storage-misc","yes","varies","If used solely for medicine → tevila without a brocha. If also used for other purposes → tevila with a brocha.","","medicine, spoon",""
"wooden-cask","Wooden Cask / Barrel","storage-misc","varies","no","Plain wood → no tevila. If it has metal straps/bands → tevila without a brocha.","","wood, barrel, cask, wine",""
"pocketknife","Pocketknife","storage-misc","yes","yes","Requires tevila if used for food. Should be immersed in the open position so water reaches all areas. If only used for non-food purposes → no tevila.","","pocket, knife",""
"axe","Axe (for carving animals)","food-prep","yes","no","Specifically an axe used for carving up the body of an animal. Tevila without a brocha, since it is used in the initial stages of food preparation, not with ready-to-eat food.","","axe, butcher, meat",""
"baby-bottle","Baby Bottle","drinks-bottles","yes","yes","Metal, glass, or Pyrex baby bottles require tevila with a brocha. A bottle used only to heat milk in the bottle (not for drinking directly) does not require tevila.","Some authorities require tevila without a brocha for plastic bottles. Others fully exempt plastic.","baby, bottle, infant",""
"bakers-shovel","Baker's Shovel","food-prep","yes","no","Tevila without a brocha. Used in the initial stages of baking, not with ready-to-eat food.","","baker, shovel, bread, dough",""
"bottle-stopper","Bottle Stopper / Cork","drinks-bottles","yes","no","Required if made from a material needing tevila and the liquid in the bottle touches the bottom of the stopper. Tevila without a brocha.","","stopper, cork, bottle",""
"butter-dish","Butter Dish (metal or glass)","tableware","yes","yes","Tevila with a brocha. Food directly contacts the dish.","","butter, dish",""
"coffee-percolator","Coffee Percolator (stovetop)","drinks-bottles","yes","yes","Metal stovetop percolator requires tevila with a brocha. Parts that contact the liquid directly are obligated.","","coffee, percolator, stovetop",""
"cupboard-shelves","Cupboard / Refrigerator Shelves","storage-misc","no","no","Storage cupboards, shelves, and drawers do not require tevila, even if food is placed directly on them.","HaGaon Rav Moshe Stern requires tevila for refrigerator drawers, but concludes one should not be forced to change the customary practice of exempting them.","cupboard, shelves, refrigerator, drawers, storage",""
"dishwasher","Dishwasher","electric","no","no","A utensil used for kashering or rinsing out other utensils (hag'alah utensil) does not require tevila. The dishwasher is a cleaning appliance, not a food-use vessel.","","dishwasher, wash, electric",""
"dotting-wheel","Dotting Wheel (matzah perforator)","food-prep","yes","no","Used for perforating matzoth or dough. Tevila without a brocha, since it is used with food that is not yet edible.","","dotting, wheel, matzah, dough, perforator",""
"drill-barrel","Drill (for boring barrels)","storage-misc","no","no","Used for boring a hole in a barrel to extract liquid. Does not require tevila.","The Maharil and Yosef Ometz rule tevila is required, but the Shakh rejects their view.","drill, barrel, borer",""
"earthenware-coated","Earthenware (coated)","storage-misc","varies","varies","Uncoated earthenware: no tevila. Coated with metal inside & out (functional): tevila with a brocha. Coated both sides (ornamental only) or inside only: tevila without a brocha. Coated only outside: no tevila. Glazed/coated with glass inside & out: tevila without a brocha.","","earthenware, clay, coated, ceramic",""
"egg-cup","Egg Cup (metal or glass)","tableware","yes","yes","Used for holding and serving soft-boiled eggs. Food directly contacts the cup. Tevila with a brocha.","","egg, cup, soft-boiled",""
"egg-cooker","Egg Cooker","cooking","yes","no","Designated for cooking eggs in their shells. Tevila without a brocha, since the food (egg in shell) does not directly contact the cooking surface in the normal sense.","","egg, cooker, boil",""
"espresso-machine","Espresso Machine","electric","varies","varies","Only the parts that come in direct contact with liquid require tevila. The portafilter and brew head require tevila with a brocha; other metal parts that only contact steam may require tevila without a brocha. Consult a Rav.","","espresso, coffee, electric, machine",""
"finjan","Finjan (metal coffee pot)","drinks-bottles","yes","yes","A small metal pot used for brewing Turkish-style coffee. Requires tevila with a brocha since food/drink directly contacts the metal.","","finjan, coffee, turkish, metal",""
"funnel-metal","Funnel (metal)","food-prep","yes","yes","A metal funnel requires tevila with a brocha. A funnel made from wood does not require tevila, even if it has a metal tube.","","funnel, pour, metal",""
"glass-holder","Glass Holder","tableware","no","no","Holders for glasses do not require tevila, as food does not contact the holder itself.","","glass, holder, sleeve",""
"hagalah-vessel","Hag'alah Utensil (kashering vessel)","storage-misc","no","no","A utensil used exclusively for kashering or rinsing other utensils does not require tevila, since it is not used for food directly.","","hagalah, kashering, vessel",""
"ice-cube-tray","Ice Cube Tray (metal)","storage-misc","yes","yes","Metal ice cube trays require tevila with a brocha. Plastic ice cube trays do not require tevila.","","ice, cube, tray, freezer",""
"mortar-pestle","Mortar & Pestle","food-prep","varies","varies","Metal mortar: if used for spices not otherwise edible without crushing, some rule no brocha; if used for salt or food edible without crushing, a brocha is recited. Wooden or plastic mortar with metal attached: if it functions without the metal, no tevila; if it cannot function without the metal, it is treated as a metal utensil.","","mortar, pestle, grind, spice",""
"needle-stuffing","Needle (for stuffing)","food-prep","yes","no","Specifically a needle used for sewing necks and intestines stuffed with flour and oil. Tevila without a brocha.","","needle, stuffing, sew",""
"net-cooking","Cooking Net / Wire Basket","cooking","varies","varies","A net placed in a kettle to collect limestone: no tevila. A net used for deep frying, steam cooking, or grilling (direct food contact): tevila with a brocha.","","net, basket, wire, fry, steam",""
"oven-general","Oven (food-touching parts)","cooking","yes","yes","All parts of the oven that come into direct contact with food require tevila with a brocha: baking trays, grill nets, revolving spit, etc. The oven body itself (which does not touch food directly) does not require tevila.","","oven, rack, tray, grill, spit",""
"pail-meat","Pail (for soaking meat)","cooking","yes","no","A pail used for soaking meat before or after salting requires tevila without a brocha, since it is used in the initial food-preparation stage, not with ready-to-eat food.","","pail, bucket, meat, soak, salt",""
"potato-masher","Vegetable / Potato Masher","food-prep","yes","yes","Used for mashing cooked potatoes and other vegetables. Since it contacts ready-to-eat food, tevila with a brocha is required.","","masher, potato, vegetable, mash",""
"refrigerator","Refrigerator / Freezer","storage-misc","no","no","Even if food is placed directly on the shelves, it is not customary to immerse a refrigerator or its internal shelves. See also Cupboard / Refrigerator Shelves.","","refrigerator, freezer, fridge",""
"saw-animal","Saw (for animal butchering)","food-prep","yes","no","Used for dissecting the body of an animal. Tevila without a brocha, since it is used in the initial stages of food preparation.","","saw, butcher, animal, meat",""
"scales-food","Food Scales","storage-misc","yes","no","The parts of food scales that touch food directly require tevila without a brocha.","","scales, weights, food, measure",""
"sheath","Knife Sheath / Scabbard","storage-misc","no","no","A sheath for storing knives does not require tevila, since food does not contact the sheath.","","sheath, scabbard, knife, holster",""
"spatula","Spatula (metal)","food-prep","yes","yes","A metal spatula contacts food directly. Tevila with a brocha required.","","spatula, flip, turner",""
"spit-roasting","Roasting Spit (metal)","cooking","yes","yes","A metal spit used for roasting. Food is impaled directly on it. Tevila with a brocha required.","","spit, roast, rotisserie",""
"squeezer","Fruit / Vegetable Squeezer (metal)","food-prep","yes","yes","A fruit or carrot squeezer. Food contacts the metal directly. Tevila with a brocha required.","","squeezer, juicer, fruit, carrot",""
"steam-utensil","Steam Utensil (large)","cooking","varies","no","There is a controversy over whether a large steam utensil that is attached to the ground requires tevila. If tevila is required, it is without a brocha. Consult a Rav.","","steam, steamer, large",""
"syringe-cake","Cake Syringe / Decorator","food-prep","yes","yes","A syringe used for filling or covering cakes with jam or cream. Food contacts the metal directly. Tevila with a brocha required.","","syringe, cake, decorator, icing, jam",""
"table-metal","Metal Table","storage-misc","varies","no","Some authorities require tevila of a metal table on which food is occasionally placed directly. A wooden table with metal legs, or a metal table on which food is only placed in plates or bowls, is exempt according to all opinions.","","table, metal, surface",""
"taps","Taps / Spigots (on barrels)","storage-misc","varies","no","Taps of barrels require tevila only if the barrel itself requires tevila. Taps of kitchen sinks do not require tevila.","","tap, spigot, faucet, barrel",""
"teapot","Teapot (metal or glass)","drinks-bottles","yes","yes","A teapot brought to the table requires tevila with a brocha. Liquid directly contacts the metal or glass interior.","","teapot, tea, kettle, brew",""
"tongs","Tongs (serving / food)","food-prep","yes","yes","Tongs used for sugar, ice cubes, or serving food. Food contacts the metal directly. Tevila with a brocha required.","","tongs, serving, sugar, ice",""
"tube-food","Metal Tube (purchased with food inside)","storage-misc","no","no","When purchasing a metal tube with food already inside, there is no need to extract the food to immerse it before initial use. Once the tube is emptied and reused for food, tevila is required.","","tube, container, metal, food",""
"water-tank","Water Tank / Solar Boiler","storage-misc","no","no","Water tanks and solar boilers do not require tevila.","","water, tank, boiler, solar",""
"material-wicker","Wicker Utensils","storage-misc","no","no","Wicker is a type of wood. Wicker utensils do not require tevila.","","wicker, basket, wood",""
"material-ivory","Ivory Utensils","storage-misc","no","no","Ivory utensils do not require tevila.","","ivory, bone, material",""
